year,region_id,Region_name,ons_code,road_category_id,road_category_name,total_link_length_km,total_link_length_miles,all_motor_vehicles
1996,6,London,E12000007,5,M,12679.6,7878.74,7037744356
1996,7,East of England,E12000006,1,TM,252.335,156.79,4563313036
1996,7,East of England,E12000006,3,TA,1139.596,708.11,6274514106
1996,7,East of England,E12000006,4,PA,2722.223,1691.51,8041283621
1996,7,East of England,E12000006,5,M,34804.4,21626.45,11485160166
1996,8,Yorkshire and the Humber,E12000003,1,TM,345.682,214.8,4446873957
1996,8,Yorkshire and the Humber,E12000003,2,PM,3.489,2.17,53781714.79
1996,8,Yorkshire and the Humber,E12000003,3,TA,704.609,437.82,3235358903
1996,8,Yorkshire and the Humber,E12000003,4,PA,2561.532,1591.66,6839820591
1996,8,Yorkshire and the Humber,E12000003,5,M,27669.6,17193.09,8104785552
1996,9,South East,E12000008,1,TM,615.693,382.57,11235336490
1996,9,South East,E12000008,2,PM,10.568,6.57,150520033.6
1996,9,South East,E12000008,3,TA,858.197,533.26,6047095885
1996,9,South East,E12000008,4,PA,4274.007,2655.74,13778273642
1996,9,South East,E12000008,5,M,41106.2,25542.21,16116241236
1996,10,West Midlands,E12000005,1,TM,364.694,226.61,6090353734
1996,10,West Midlands,E12000005,2,PM,4.287,2.66,92229732.74
1996,10,West Midlands,E12000005,3,TA,840.809,522.45,3541864232
1996,10,West Midlands,E12000005,4,PA,2661.357,1653.69,7004036231
1996,10,West Midlands,E12000005,5,M,28126.5,17477,10229884624
1996,11,North East,E12000001,1,TM,53.124,33.01,543448841.9
1996,11,North East,E12000001,2,PM,2.393,1.49,35161873.41
1996,11,North East,E12000001,3,TA,438.324,272.36,2142627775
1996,11,North East,E12000001,4,PA,1303.207,809.78,3316988357
1996,11,North East,E12000001,5,M,14114.3,8770.22,4801730712
1997,1,South West,E12000009,1,TM,319.951,198.81,4165821956
1997,1,South West,E12000009,3,TA,1007.23,625.86,3906378904
1997,1,South West,E12000009,4,PA,3887.615,2415.65,8495297721
1997,1,South West,E12000009,5,M,43893.9,27274.4,9581537995
1997,2,East Midlands,E12000004,1,TM,189.641,117.84,3430219391
1997,2,East Midlands,E12000004,3,TA,1232.401,765.78,5509680388
1997,2,East Midlands,E12000004,4,PA,2579.786,1603,5974207196
1997,2,East Midlands,E12000004,5,M,26918.6,16726.44,7441467594
1997,3,Scotland,S92000003,1,TM,355.967,221.19,3014856771
1997,3,Scotland,S92000003,3,TA,2859.662,1776.91,5655356588
1997,3,Scotland,S92000003,4,PA,7429.27,4616.33,7117090428
1997,3,Scotland,S92000003,5,M,48302.1,30013.53,8040322904
1997,4,Wales,W92000004,1,TM,138.338,85.96,1602232689
1997,4,Wales,W92000004,3,TA,1530.945,951.29,3500614850
1997,4,Wales,W92000004,4,PA,2589.673,1609.15,4358767616
1997,4,Wales,W92000004,5,M,28517.3,17719.83,5562193287
1997,5,North West,E12000002,1,TM,587.621,365.13,8586042341
1997,5,North West,E12000002,2,PM,24.092,14.97,205785658
1997,5,North West,E12000002,3,TA,832.698,517.41,2985866895
1997,5,North West,E12000002,4,PA,3139.521,1950.81,9057843966
1997,5,North West,E12000002,5,M,31693.9,19693.68,10654439371
1997,6,London,E12000007,1,TM,69.806,43.38,1525809465
1997,6,London,E12000007,3,TA,325.64,202.34,3889149908
1997,6,London,E12000007,4,PA,1377.335,855.84,7170298571
